	Y	N
M11032305	0	1
M11032401	0	1
M11032402	0	1
M11032403	0	1
M11032501	0	1
M11032502	0	1
M11032503	0	1
M11032504	0	1
M11032801	0	1
M11032902	0	1
M11033001	0	1
M11033003	0	1
M11033101	0	1
M11033102	0	1
M11040101	0	1
M11040104	0	1
M11040105	0	1
M11040403	0	1
M11040404	0	1
M11040501	0	1
M11040503	0	1
M11040504	0	1
M11040601	0	1
M11040602	0	1
M11040604	0	1
M11040605	0	1
M11040606	0	1
M11040607	0	1
M11040701	0	1
M11040703	0	1
M11040801	0	1
M11040802	0	1
M11040803	0	1
M11040804	0	1
M11040805	0	1
M11040807	0	1
M11041101	0	1
M11041102	0	1
M11041201	0	1
M11041202	0	1
M11041203	0	1
M11041205	0	1
M11041301	0	1
M11041303	0	1
M11041304	0	1
M11041305	0	1
M11041306	0	1
M11041307	0	1
M11041401	0	1
M11041402	0	1
M11041403	0	1
M11041502	0	1
M11041503	0	1
M11041504	0	1
M11041505	0	1
M11041506	0	1
M11041507	0	1
M11041802	0	1
M11041803	0	1
M11041804	0	1
M11042001	0	1
M11042002	0	1
M11042003	0	1
M11042004	0	1
M11042005	0	1
M11042101	0	1
M11042203	0	1
M11042502	0	1
M11042504	0	1
M11042601	0	1
M11042602	0	1
M11042603	0	1
M11042701	0	1
M11042702	0	1
M11042704	0	1
M11042801	0	1
M11042803	0	1
M11042804	0	1
M11042805	0	1
M11050201	0	1
M11050202	0	1
M11050203	0	1
M11050204	0	1
M11050601	0	1
M11050602	0	1
M11050603	0	1
M11050902	0	1
M11050903	0	1
M11050904	0	1
M11051001	0	1
M11051002	0	1
M11051003	0	1
M11051102	0	1
M11051103	0	1
M11051104	0	1
M11051105	0	1
M11051202	0	1
M11051204	0	1
M11051301	0	1
M11051302	0	1
M11051303	0	1
M11051305	0	1
M11051307	0	1
M11051601	0	1
M11051603	0	1
M11051604	0	1
M11051605	0	1
M11051702	0	1
M11051703	0	1
M11051801	0	1
M11051802	0	1
M11051803	0	1
M11051902	0	1
M11051903	0	1
M11051904	0	1
M11052001	0	1
M11052303	0	1
M11052304	0	1
M11052402	0	1
M11052403	0	1
M11052404	0	1
M11052405	0	1
M11052501	0	1
M11052502	0	1
M11052503	0	1
M11052504	0	1
M11052601	0	1
M11052602	0	1
M11052701	0	1
M11052702	0	1
M11052703	0	1
M11052704	0	1
M11052705	0	1
M11053001	0	1
M11053002	0	1
M11053003	0	1
M11053004	0	1
M11053005	0	1
M11053102	0	1
M11053103	0	1
M11053104	0	1
M11053105	0	1
M11053106	0	1
M11060101	0	1
M11060102	0	1
M11060103	0	1
M11060104	0	1
M11060105	0	1
M11060201	0	1
M11060202	0	1
M11060301	0	1
M11060302	0	1
M11060303	0	1
M11060304	0	1
M11060306	0	1
M11060601	0	1
M11060602	0	1
M11060603	0	1
M11060604	0	1
M11060606	0	1
M11060701	0	1
M11060702	0	1
M11060703	0	1
M11060704	0	1
M11060801	0	1
M11060802	0	1
M11060804	0	1
M11060901	0	1
M11060903	0	1
M11061001	0	1
M11061002	0	1
M11061003	0	1
M11061004	0	1
M11061005	0	1
M11061006	0	1
M11061301	0	1
M11061403	0	1
M11061502	0	1
M11061504	0	1
M11061601	0	1
M11061602	0	1
M11061701	0	1
M11061702	0	1
M11062001	0	1
M11062002	0	1
M11062003	0	1
M11062005	0	1
M11062101	0	1
M11062102	0	1
M11062103	0	1
M11062104	0	1
M11062201	0	1
M11062202	0	1
M11062301	0	1
M11062402	0	1
M11062403	0	1
M11062405	0	1
M11062701	0	1
M11062702	0	1
M11062703	0	1
M11062704	0	1
M11062705	0	1
M11062706	0	1
M11062801	0	1
M11062802	0	1
M11062803	0	1
M11062901	0	1
M11062902	0	1
M11062903	0	1
M11062904	0	1
M11063001	0	1
M11070102	0	1
M11070103	0	1
M11070104	0	1
M11070402	0	1
M11070403	0	1
M11070806	0	1
M11070808	0	1
M11071101	0	1
M11071103	0	1
M11071106	0	1
M11071107	0	1
M11071201	0	1
M11071202	0	1
M11071203	0	1
M11071301	0	1
M11071302	0	1
M11071303	0	1
M11071304	0	1
M11071401	0	1
M11071402	0	1
M11071502	0	1
M11071503	0	1
M11071504	0	1
M11071505	0	1
M11071506	0	1
M11071507	0	1
M11071901	0	1
M11072001	0	1
M11072102	0	1
M11072201	0	1
M11072202	0	1
M11072203	0	1
M11072204	0	1
M11072205	0	1
M11072506	0	1
M11072601	0	1
M11072602	0	1
M11072603	0	1
M11072604	0	1
M11072701	0	1
M11072702	0	1
M11072801	0	1
M11072802	0	1
M11072803	0	1
M11072901	0	1
M11072903	0	1
M11072904	0	1
M11080101	0	1
M11080102	0	1
M11080106	0	1
M11080202	0	1
M11080204	0	1
M11080205	0	1
M11080305	0	1
M11080306	0	1
M11080307	0	1
M11080308	0	1
M11080401	0	1
M11080501	0	1
M11080502	0	1
M11080503	0	1
M11080504	0	1
M11080505	0	1
M11080801	0	1
M11080802	0	1
M11080803	0	1
M11080805	0	1
M11080901	0	1
M11080902	0	1
M11080904	0	1
M11081001	0	1
M11081002	0	1
M11081003	0	1
M11081004	0	1
M11081005	0	1
M11081201	0	1
M11081202	0	1
M11081204	0	1
M11081602	0	1
M11081603	0	1
M11081702	0	1
M11081801	0	1
M11081802	0	1
M11081803	0	1
M11081804	0	1
M11081805	0	1
M11081902	0	1
M11081903	0	1
M11081904	0	1
M11081905	0	1
M11082201	0	1
M11082202	0	1
M11082301	0	1
M11082302	0	1
M11082401	0	1
M11082501	0	1
M11082502	0	1
M11082602	0	1
M11082603	0	1
M11082604	0	1
M11082605	0	1
M11082606	0	1
M11082901	0	1
M11082902	0	1
M11082903	0	1
M11082904	0	1
M11083001	0	1
M11083002	0	1
M11083003	0	1
M11083004	0	1
M11083102	0	1
M11083103	0	1
M11083104	0	1
M11090101	0	1
M11090102	0	1
M11090201	0	1
M11090203	0	1
M11090204	0	1
M11090205	0	1
M11090206	0	1
M11090207	0	1
M11090503	0	1
M11090504	0	1
M11090505	0	1
M11090601	0	1
M11090602	0	1
M11090701	0	1
M11090702	0	1
M11090703	0	1
M11090704	0	1
M11090705	0	1
M11090801	0	1
M11090802	0	1
M11090901	0	1
M11091201	0	1
M11091202	0	1
M11091203	0	1
M11091205	0	1
M11091301	0	1
M11091302	0	1
M11091303	0	1
M11091401	0	1
M11091402	0	1
M11091403	0	1
M11091404	0	1
M11091501	0	1
M11091502	0	1
M11091503	0	1
M11091602	0	1
M11091603	0	1
M11091604	0	1
M11091605	0	1
M11091606	0	1
M11091607	0	1
M11092001	0	1
M11092002	0	1
M11092003	0	1
M11092101	0	1
M11092201	0	1
M11092702	0	1
M11092703	0	1
M11092704	0	1
M11092801	0	1
M11092802	0	1
M11093001	0	1
M11100301	0	1
M11100303	0	1
M11100304	0	1
M11100401	0	1
M11100402	0	1
M11100505	0	1
M11100506	0	1
M11100601	0	1
M11100701	0	1
M11100702	0	1
M11100703	0	1
M11101101	0	1
M11101102	0	1
M11101103	0	1
M11101104	0	1
M11101105	0	1
M11101201	0	1
M11101202	0	1
M11101301	0	1
M11101302	0	1
M11101401	0	1
M11101402	0	1
M11101403	0	1
M11101404	0	1
M11101704	0	1
M11101705	0	1
M11101707	0	1
M11101902	0	1
M11101903	0	1
M11101904	0	1
M11101905	0	1
M11101906	0	1
M11102001	0	1
M11102002	0	1
M11102003	0	1
M11102102	0	1
M11102103	0	1
M11102104	0	1
M11102105	0	1
M11102106	0	1
M11102401	0	1
M11102403	0	1
M11102405	0	1
M11102406	0	1
M11102407	0	1
