	Y	N
NB12112003	0	1
NB12112004	0	1
NB12112101	0	1
NB12112102	0	1
NB12112103	0	1
NB12112201	0	1
NB12112202	0	1
NB12112601	0	1
NB12112602	0	1
NB12112604	0	1
NB12112702	0	1
NB12112703	0	1
NB12112801	0	1
NB12112802	0	1
NB12112901	0	1
NB12113001	0	1
NB12120302	0	1
NB12120303	0	1
NB12120401	0	1
NB12120402	0	1
NB12120403	0	1
NB12120505	0	1
NB12120601	0	1
NB12121002	0	1
NB12121003	0	1
NB12121004	0	1
NB12121303	0	1
NB12121402	0	1
NB12121403	0	1
NB12121404	0	1
NB12121701	0	1
NB12121702	0	1
NB12121703	0	1
NB12121704	0	1
NB12121801	0	1
NB12121802	0	1
NB12121803	0	1
NB12121901	0	1
NB12121906	0	1
NB12122001	0	1
NB12122003	0	1
NB12122004	0	1
NB12122005	0	1
NB12122101	0	1
NB12122102	0	1
NB12122501	0	1
NB12122502	0	1
NB12122601	0	1
NB12122701	0	1
NB12122702	0	1
NB12122802	0	1
NB12122803	0	1
NB13010702	0	1
NB13010703	0	1
NB13010704	0	1
NB13010801	0	1
NB13010802	0	1
NB13010804	0	1
NB13010805	0	1
NB13011002	0	1
NB13011102	0	1
NB13011103	0	1
NB13011501	0	1
NB13011502	0	1
NB13011503	0	1
NB13011504	0	1
NB13011505	0	1
NB13011601	0	1
NB13011602	0	1
NB13011603	0	1
NB13011604	0	1
NB13011701	0	1
NB13011702	0	1
NB13011703	0	1
NB13011801	0	1
NB13011802	0	1
NB13011803	0	1
NB13012101	0	1
NB13012102	0	1
NB13012103	0	1
NB13012105	0	1
NB13012107	0	1
NB13012201	0	1
NB13012204	0	1
NB13012302	0	1
NB13012305	0	1
NB13012401	0	1
NB13012402	0	1
NB13012501	0	1
NB13012502	0	1
NB13012801	0	1
NB13012802	0	1
NB13012803	0	1
NB13012901	0	1
NB13012902	0	1
NB13012903	0	1
NB13012904	0	1
NB13012905	0	1
NB13013001	0	1
NB13013101	0	1
NB13020101	0	1
NB13020103	0	1
NB13020401	0	1
NB13020402	0	1
NB13020403	0	1
NB13020404	0	1
NB13020405	0	1
NB13020501	0	1
NB13020503	0	1
NB13020601	0	1
NB13020602	0	1
NB13020603	0	1
NB13020604	0	1
NB13020701	0	1
NB13020702	0	1
NB13020801	0	1
NB13020802	0	1
NB13020803	0	1
NB13020804	0	1
NB13020805	0	1
NB13020806	0	1
NB13021201	0	1
NB13021202	0	1
NB13021204	0	1
NB13021302	0	1
NB13021403	0	1
NB13021404	0	1
NB13021501	0	1
NB13021503	0	1
NB13021801	0	1
NB13021804	0	1
NB13021806	0	1
NB13021901	0	1
NB13021902	0	1
NB13021903	0	1
NB13021904	0	1
NB13022001	0	1
NB13022002	0	1
NB13022003	0	1
NB13022101	0	1
NB13022102	0	1
NB13022202	0	1
NB13022502	0	1
NB13022503	0	1
NB13022601	0	1
NB13022602	0	1
NB13022604	0	1
NB13022701	0	1
NB13022703	0	1
NB13022801	0	1
NB13022802	0	1
NB13030101	0	1
NB13030102	0	1
NB13030401	0	1
NB13030402	0	1
NB13030403	0	1
NB13030404	0	1
NB13030502	0	1
NB13030504	0	1
NB13030601	0	1
NB13030602	0	1
NB13030603	0	1
NB13030701	0	1
NB13030702	0	1
NB13030703	0	1
NB13030801	0	1
NB13031101	0	1
NB13031102	0	1
NB13031103	0	1
NB13031104	0	1
NB13031201	0	1
NB13031203	0	1
NB13031204	0	1
NB13031206	0	1
NB13031207	0	1
NB13031208	0	1
NB13031301	0	1
NB13031303	0	1
NB13031401	0	1
NB13031402	0	1
NB13031501	0	1
NB13031502	0	1
NB13031503	0	1
NB13031801	0	1
NB13031802	0	1
NB13031804	0	1
NB13031806	0	1
NB13031807	0	1
NB13031901	0	1
NB13031902	0	1
NB13031903	0	1
NB13031904	0	1
NB13032101	0	1
NB13032202	0	1
NB13032203	0	1
NB13032501	0	1
NB13032503	0	1
NB13032504	0	1
NB13032505	0	1
NB13032601	0	1
NB13032602	0	1
NB13032603	0	1
NB13032604	0	1
NB13032605	0	1
NB13032701	0	1
NB13032702	0	1
NB13032703	0	1
NB13032704	0	1
NB13032801	0	1
NB13032802	0	1
NB13032803	0	1
NB13032804	0	1
NB13032902	0	1
NB13040101	0	1
NB13040102	0	1
NB13040201	0	1
NB13040202	0	1
NB13040203	0	1
NB13040204	0	1
NB13040205	0	1
NB13040206	0	1
NB13040207	0	1
NB13040301	0	1
NB13040302	0	1
NB13040303	0	1
NB13040402	0	1
NB13040501	0	1
NB13040502	0	1
NB13040802	0	1
NB13040803	0	1
NB13040804	0	1
NB13040805	0	1
NB13040806	0	1
NB13040901	0	1
NB13040902	0	1
NB13040904	0	1
NB13041001	0	1
NB13041104	0	1
NB13041501	0	1
NB13041502	0	1
NB13041503	0	1
NB13041504	0	1
NB13041505	0	1
NB13041506	0	1
NB13041507	0	1
NB13041601	0	1
NB13041602	0	1
NB13041701	0	1
NB13041703	0	1
NB13041704	0	1
NB13041801	0	1
NB13041802	0	1
NB13041902	0	1
NB13042201	0	1
NB13042202	0	1
NB13042204	0	1
NB13042205	0	1
NB13042206	0	1
NB13042301	0	1
NB13042302	0	1
NB13042401	0	1
NB13042402	0	1
NB13042501	0	1
NB13042503	0	1
NB13042504	0	1
NB13043001	0	1
NB13043002	0	1
NB13043003	0	1
NB13050102	0	1
NB13050103	0	1
NB13050104	0	1
NB13050201	0	1
NB13050202	0	1
NB13050203	0	1
NB13050701	0	1
NB13050702	0	1
NB13050703	0	1
NB13050704	0	1
NB13050705	0	1
NB13050706	0	1
NB13050801	0	1
NB13050802	0	1
NB13050803	0	1
NB13050901	0	1
NB13050902	0	1
NB13051001	0	1
NB13051002	0	1
NB13051003	0	1
NB13051301	0	1
NB13051302	0	1
NB13051303	0	1
NB13051304	0	1
NB13051305	0	1
NB13051402	0	1
NB13051403	0	1
NB13051404	0	1
NB13051405	0	1
NB13051406	0	1
NB13051407	0	1
NB13051501	0	1
NB13051503	0	1
NB13051504	0	1
NB13051601	0	1
NB13051602	0	1
NB13052001	0	1
NB13052002	0	1
NB13052003	0	1
NB13052004	0	1
NB13052101	0	1
NB13052102	0	1
NB13052201	0	1
NB13052202	0	1
NB13052203	0	1
NB13052204	0	1
NB13052301	0	1
NB13052302	0	1
NB13052303	0	1
NB13052304	0	1
NB13052305	0	1
NB13052306	0	1
NB13052401	0	1
NB13052701	0	1
NB13052702	0	1
NB13052703	0	1
NB13052704	0	1
NB13052705	0	1
NB13052706	0	1
NB13052801	0	1
NB13052802	0	1
NB13052805	0	1
NB13052901	0	1
NB13053001	0	1
NB13053002	0	1
NB13053003	0	1
NB13053102	0	1
NB13053103	0	1
NB13060301	0	1
NB13060302	0	1
NB13060303	0	1
NB13060304	0	1
NB13060305	0	1
NB13060306	0	1
NB13060402	0	1
NB13060403	0	1
NB13060404	0	1
NB13060501	0	1
NB13060601	0	1
NB13060602	0	1
NB13060702	0	1
NB13061001	0	1
NB13061002	0	1
NB13061003	0	1
NB13061004	0	1
NB13061005	0	1
NB13061006	0	1
NB13061102	0	1
NB13061103	0	1
NB13061104	0	1
NB13061105	0	1
NB13061201	0	1
NB13061202	0	1
NB13061203	0	1
NB13061301	0	1
NB13061302	0	1
NB13061401	0	1
NB13061402	0	1
NB13061403	0	1
NB13061701	0	1
NB13061702	0	1
NB13061703	0	1
NB13061801	0	1
NB13061802	0	1
NB13061803	0	1
NB13061901	0	1
NB13061902	0	1
NB13061903	0	1
NB13061904	0	1
NB13061905	0	1
NB13062001	0	1
NB13062002	0	1
NB13062003	0	1
NB13062101	0	1
NB13062401	0	1
NB13062402	0	1
NB13062403	0	1
NB13062404	0	1
NB13062405	0	1
NB13062406	0	1
NB13062407	0	1
NB13062408	0	1
NB13062409	0	1
NB13062410	0	1
NB13062501	0	1
NB13062502	0	1
NB13062503	0	1
NB13062601	0	1
NB13062702	0	1
NB13062801	0	1
NB13070102	0	1
NB13070103	0	1
NB13070105	0	1
NB13070201	0	1
NB13070202	0	1
NB13070203	0	1
NB13070204	0	1
NB13070301	0	1
NB13070302	0	1
NB13070303	0	1
NB13070304	0	1
NB13070401	0	1
NB13070402	0	1
NB13070403	0	1
NB13070501	0	1
NB13070502	0	1
NB13070503	0	1
NB13070801	0	1
NB13070802	0	1
NB13070803	0	1
NB13070804	0	1
NB13070805	0	1
NB13070806	0	1
NB13070807	0	1
NB13070902	0	1
NB13070903	0	1
NB13070904	0	1
NB13070905	0	1
NB13071002	0	1
NB13071101	0	1
NB13071102	0	1
NB13071201	0	1
NB13071202	0	1
NB13071601	0	1
NB13071603	0	1
NB13071604	0	1
NB13071701	0	1
NB13071702	0	1
NB13071703	0	1
NB13071801	0	1
NB13071802	0	1
NB13071803	0	1
NB13071804	0	1
NB13071902	0	1
NB13072201	0	1
NB13072202	0	1
NB13072203	0	1
NB13072204	0	1
NB13072205	0	1
NB13072206	0	1
NB13072302	0	1
NB13072303	0	1
NB13072401	0	1
NB13072402	0	1
NB13072403	0	1
NB13072501	0	1
NB13072502	0	1
NB13072504	0	1
NB13072505	0	1
NB13072601	0	1
NB13072901	0	1
NB13072902	0	1
NB13072904	0	1
NB13072906	0	1
NB13073002	0	1
NB13073003	0	1
NB13073004	0	1
NB13073101	0	1
NB13073102	0	1
NB13073103	0	1
NB13080101	0	1
NB13080201	0	1
NB13080501	0	1
NB13080502	0	1
NB13080503	0	1
NB13080504	0	1
NB13080506	0	1
NB13080601	0	1
NB13080602	0	1
NB13080603	0	1
NB13080604	0	1
NB13080605	0	1
NB13080701	0	1
NB13080702	0	1
NB13080703	0	1
NB13080801	0	1
NB13080902	0	1
NB13080903	0	1
NB13081201	0	1
NB13081202	0	1
NB13081203	0	1
NB13081204	0	1
NB13081205	0	1
NB13081206	0	1
NB13081301	0	1
NB13081601	0	1
NB13081602	0	1
NB13081901	0	1
NB13081902	0	1
NB13081903	0	1
NB13082001	0	1
NB13082002	0	1
NB13082003	0	1
NB13082101	0	1
NB13082102	0	1
NB13082103	0	1
NB13082202	0	1
NB13082301	0	1
NB13082601	0	1
NB13082603	0	1
NB13082605	0	1
NB13082606	0	1
NB13082607	0	1
NB13082701	0	1
NB13082801	0	1
NB13082901	0	1
NB13082902	0	1
NB13083001	0	1
NB13090201	0	1
NB13090202	0	1
NB13090204	0	1
NB13090205	0	1
NB13090206	0	1
NB13090301	0	1
NB13090302	0	1
NB13090303	0	1
NB13090401	0	1
NB13090402	0	1
NB13090403	0	1
NB13090404	0	1
NB13090502	0	1
NB13090503	0	1
NB13090601	0	1
NB13090602	0	1
NB13091001	0	1
NB13091002	0	1
NB13091003	0	1
NB13091004	0	1
NB13091204	0	1
NB13091205	0	1
NB13091301	0	1
NB13091302	0	1
NB13091704	0	1
NB13091803	0	1
NB13092002	0	1
NB13092003	0	1
NB13092504	0	1
NB13092601	0	1
NB13092602	0	1
NB13093001	0	1
NB13093002	0	1
NB13093003	0	1
NB13093004	0	1
NB13100102	0	1
NB13100202	0	1
NB13100301	0	1
NB13100401	0	1
NB13100402	0	1
NB13100701	0	1
NB13100702	0	1
NB13100703	0	1
NB13100801	0	1
NB13100802	0	1
NB13100803	0	1
NB13100804	0	1
NB13100901	0	1
NB13100902	0	1
NB13100903	0	1
NB13101001	0	1
NB13101002	0	1
NB13101003	0	1
NB13101004	0	1
NB13101101	0	1
NB13101501	0	1
NB13101502	0	1
NB13101503	0	1
NB13101601	0	1
NB13101602	0	1
NB13101701	0	1
NB13101702	0	1
NB13101704	0	1
NB13101801	0	1
NB13101803	0	1
NB13102101	0	1
NB13102102	0	1
NB13102103	0	1
NB13102104	0	1
NB13102105	0	1
NB13102106	0	1
NB13102107	0	1
NB13102202	0	1
NB13102301	0	1
NB13102302	0	1
NB13102401	0	1
NB13102402	0	1
NB13102403	0	1
NB13102404	0	1
NB13102501	0	1
NB13102502	0	1
NB13102801	0	1
NB13102802	0	1
NB13102803	0	1
NB13102804	0	1
NB13102805	0	1
NB13102807	0	1
NB13102808	0	1
NB13102809	0	1
NB13102901	0	1
NB13102902	0	1
NB13102903	0	1
NB13102904	0	1
NB13102905	0	1
NB13103002	0	1
NB13103003	0	1
NB13103102	0	1
NB13110101	0	1
NB13110102	0	1
NB13110103	0	1
NB13110501	0	1
NB13110503	0	1
NB13110504	0	1
NB13110602	0	1
NB13110603	0	1
NB13110604	0	1
NB13110702	0	1
NB13110802	0	1
NB13110803	0	1
NB13111101	0	1
NB13111102	0	1
NB13111103	0	1
NB13111104	0	1
NB13111105	0	1
NB13111106	0	1
NB13111201	0	1
NB13111202	0	1
NB13111301	0	1
NB13111302	0	1
NB13111303	0	1
NB13111304	0	1
NB13111305	0	1
NB13111307	0	1
NB13111401	0	1
NB13111402	0	1
NB13111403	0	1
NB13111501	0	1
NB13111801	0	1
NB13111802	0	1
NB13111803	0	1
NB13111804	0	1
NB13111805	0	1
NB13111806	0	1
NB13111901	0	1
NB13111902	0	1
NB13111903	0	1
NB13111904	0	1
NB13111905	0	1
NB13112001	0	1
NB13112002	0	1
NB13112003	0	1
NB13112004	0	1
NB13112005	0	1
NB13112101	0	1
NB13112103	0	1
NB13112202	0	1
NB13112203	0	1
NB13112503	0	1
NB13112504	0	1
NB13112505	0	1
NB13112506	0	1
NB13112601	0	1
NB13112602	0	1
NB13112603	0	1
NB13112701	0	1
NB13112702	0	1
NB13112801	0	1
NB13112802	0	1
NB13112901	0	1
NB13112902	0	1
NB13120201	0	1
NB13120202	0	1
NB13120204	0	1
NB13120205	0	1
NB13120206	0	1
NB13120207	0	1
NB13120208	0	1
NB13120301	0	1
NB13120302	0	1
NB13120303	0	1
NB13120402	0	1
NB13120403	0	1
NB13120501	0	1
NB13120502	0	1
NB13120503	0	1
NB13120504	0	1
NB13120601	0	1
NB13120603	0	1
NB13120901	0	1
NB13120902	0	1
NB13120903	0	1
NB13120904	0	1
NB13120905	0	1
NB13121001	0	1
NB13121002	0	1
NB13121003	0	1
NB13121004	0	1
NB13121005	0	1
NB13121102	0	1
NB13121103	0	1
NB13121201	0	1
NB13121202	0	1
NB13121203	0	1
NB13121204	0	1
NB13121301	0	1
NB13121304	0	1
NB13121602	0	1
NB13121603	0	1
NB13121604	0	1
NB13121701	0	1
NB13121702	0	1
NB13121703	0	1
NB13121704	0	1
NB13121801	0	1
NB13121802	0	1
NB13121803	0	1
NB13121804	0	1
NB13121805	0	1
NB13121806	0	1
NB13121901	0	1
NB13121902	0	1
NB13121903	0	1
NB13122002	0	1
NB13122003	0	1
NB13122401	0	1
NB13122402	0	1
NB13122501	0	1
NB13122502	0	1
NB13122503	0	1
NB13122602	0	1
NB13122603	0	1
NB13122604	0	1
NB13122701	0	1
NB13122702	0	1
NB13122703	0	1
NB14010601	0	1
NB14010603	0	1
NB14010701	0	1
NB14010702	0	1
NB14010801	0	1
NB14010802	0	1
NB14010803	0	1
NB14010804	0	1
NB14010901	0	1
NB14010902	0	1
NB14011001	0	1
NB14011002	0	1
NB14011003	0	1
NB14011401	0	1
NB14011402	0	1
NB14011403	0	1
NB14011406	0	1
NB14011501	0	1
NB14011502	0	1
NB14011601	0	1
NB14011602	0	1
NB14011604	0	1
NB14011701	0	1
NB14011702	0	1
NB14011703	0	1
NB14012001	0	1
NB14012002	0	1
NB14012003	0	1
NB14012004	0	1
NB14012101	0	1
NB14012102	0	1
NB14012201	0	1
NB14012202	0	1
NB14012203	0	1
NB14012204	0	1
NB14012205	0	1
NB14012301	0	1
NB14012302	0	1
NB14012303	0	1
NB14012304	0	1
NB14012401	0	1
NB14012402	0	1
NB14012701	0	1
NB14012702	0	1
NB14012703	0	1
NB14012704	0	1
NB14012706	0	1
NB14012707	0	1
NB14012801	0	1
NB14012802	0	1
NB14012803	0	1
NB14012901	0	1
NB14012902	0	1
NB14012903	0	1
NB14013001	0	1
NB14013002	0	1
NB14013003	0	1
NB14013101	0	1
NB14013102	0	1
NB14013103	0	1
NB14020301	0	1
NB14020302	0	1
NB14020303	0	1
NB14020304	0	1
NB14020305	0	1
NB14020306	0	1
NB14020401	0	1
NB14020402	0	1
NB14020501	0	1
NB14020502	0	1
NB14020503	0	1
NB14020504	0	1
NB14020505	0	1
NB14020506	0	1
NB14020507	0	1
NB14020602	0	1
NB14020603	0	1
NB14020604	0	1
NB14020701	0	1
NB14020702	0	1
NB14020703	0	1
NB14021001	0	1
NB14021002	0	1
NB14021003	0	1
NB14021004	0	1
NB14021202	0	1
NB14021203	0	1
NB14021205	0	1
NB14021401	0	1
NB14021402	0	1
NB14021701	0	1
NB14021702	0	1
NB14021703	0	1
NB14021704	0	1
NB14021705	0	1
NB14021707	0	1
NB14021801	0	1
NB14021802	0	1
NB14021902	0	1
NB14021903	0	1
NB14021904	0	1
NB14022101	0	1
NB14022401	0	1
NB14022402	0	1
NB14022403	0	1
NB14022404	0	1
NB14022405	0	1
NB14022406	0	1
NB14022501	0	1
NB14022502	0	1
NB14022503	0	1
NB14022701	0	1
NB14030301	0	1
NB14030302	0	1
NB14030303	0	1
NB14030304	0	1
NB14030305	0	1
NB14030306	0	1
NB14030402	0	1
NB14030403	0	1
NB14030502	0	1
NB14030503	0	1
NB14030504	0	1
NB14030601	0	1
NB14030701	0	1
NB14030702	0	1
NB14031001	0	1
NB14031002	0	1
NB14031003	0	1
NB14031101	0	1
NB14031103	0	1
NB14031201	0	1
NB14031202	0	1
NB14031203	0	1
NB14031204	0	1
NB14031301	0	1
NB14031302	0	1
NB14031401	0	1
NB14031701	0	1
NB14031702	0	1
NB14031704	0	1
NB14031801	0	1
NB14031802	0	1
NB14031803	0	1
NB14031901	0	1
NB14031902	0	1
NB14032001	0	1
NB14032002	0	1
NB14032005	0	1
NB14032006	0	1
NB14032401	0	1
NB14040102	0	1
NB14040201	0	1
NB14040202	0	1
NB14040203	0	1
NB14040302	0	1
NB14040304	0	1
NB14040305	0	1
NB14040401	0	1
NB14040402	0	1
NB14040701	0	1
NB14040702	0	1
NB14040703	0	1
NB14040704	0	1
NB14040801	0	1
NB14040802	0	1
NB14040803	0	1
NB14040901	0	1
NB14040903	0	1
NB14041001	0	1
NB14041102	0	1
NB14041103	0	1
NB14041401	0	1
NB14041402	0	1
NB14041403	0	1
NB14041501	0	1
NB14041502	0	1
NB14041503	0	1
NB14041601	0	1
NB14041701	0	1
NB14041702	0	1
NB14041703	0	1
NB14041801	0	1
NB14042103	0	1
NB14042104	0	1
NB14042201	0	1
NB14042202	0	1
NB14042203	0	1
NB14042204	0	1
NB14042301	0	1
NB14042302	0	1
NB14042303	0	1
NB14042401	0	1
NB14042502	0	1
NB14042801	0	1
NB14042802	0	1
NB14042803	0	1
NB14043001	0	1
NB14043002	0	1
NB14050101	0	1
NB14050102	0	1
NB14050103	0	1
NB14050201	0	1
NB14050202	0	1
NB14050203	0	1
NB14050204	0	1
NB14050701	0	1
NB14050703	0	1
NB14050801	0	1
NB14050802	0	1
NB14050803	0	1
NB14050804	0	1
NB14050901	0	1
NB14050902	0	1
NB14050903	0	1
NB14050904	0	1
NB14051201	0	1
NB14051202	0	1
NB14051203	0	1
NB14051204	0	1
NB14051205	0	1
NB14051206	0	1
NB14051207	0	1
NB14051208	0	1
NB14051301	0	1
NB14051302	0	1
NB14051303	0	1
NB14051402	0	1
NB14051403	0	1
NB14051501	0	1
NB14051502	0	1
NB14051503	0	1
NB14051504	0	1
NB14051505	0	1
NB14051506	0	1
NB14051601	0	1
NB14051603	0	1
NB14051605	0	1
NB14051901	0	1
NB14051903	0	1
NB14051904	0	1
NB14051905	0	1
NB14051906	0	1
NB14052003	0	1
NB14052101	0	1
NB14052102	0	1
NB14052201	0	1
NB14052203	0	1
NB14052301	0	1
NB14052604	0	1
NB14052605	0	1
NB14052606	0	1
NB14052701	0	1
NB14052702	0	1
NB14052801	0	1
NB14052901	0	1
NB14052902	0	1
NB14052903	0	1
NB14053002	0	1
NB14053003	0	1
NB14053004	0	1
NB14060201	0	1
NB14060202	0	1
NB14060203	0	1
NB14060204	0	1
NB14060205	0	1
NB14060206	0	1
NB14071404	0	1
NB14071405	0	1
NB14071501	0	1
NB14071502	0	1
NB14071503	0	1
NB14071601	0	1
NB14071602	0	1
NB14071702	0	1
NB14071703	0	1
NB14071801	0	1
NB14071804	0	1
NB14072201	0	1
NB14072202	0	1
NB14072203	0	1
NB14072301	0	1
NB14072302	0	1
NB14072303	0	1
NB14072501	0	1
NB14072502	0	1
NB14072503	0	1
NB14072504	0	1
NB14072505	0	1
NB14072801	0	1
NB14072802	0	1
NB14072804	0	1
NB14072805	0	1
NB14072806	0	1
NB14072901	0	1
NB14072902	0	1
NB14072903	0	1
NB14073002	0	1
NB14073003	0	1
NB14073101	0	1
NB14073105	0	1
NB14073106	0	1
NB14080102	0	1
NB14080103	0	1
NB14080104	0	1
NB14080106	0	1
NB14080401	0	1
NB14080402	0	1
NB14080403	0	1
NB14080404	0	1
NB14080702	0	1
NB14080703	0	1
NB14080801	0	1
NB14080802	0	1
NB14080803	0	1
NB14080804	0	1
NB14081101	0	1
NB14081103	0	1
NB14081201	0	1
NB14081203	0	1
NB14081302	0	1
NB14081303	0	1
NB14081401	0	1
NB14081402	0	1
NB14081501	0	1
NB14081502	0	1
NB14081801	0	1
NB14081802	0	1
NB14081803	0	1
NB14081804	0	1
NB14081805	0	1
NB14081901	0	1
NB14081902	0	1
NB14082001	0	1
NB14082002	0	1
NB14082101	0	1
NB14082102	0	1
NB14082103	0	1
NB14082104	0	1
NB14082105	0	1
NB14082501	0	1
NB14082601	0	1
NB14082602	0	1
NB14082603	0	1
NB14082701	0	1
NB14082702	0	1
NB14082703	0	1
NB14082704	0	1
NB14082801	0	1
NB14082802	0	1
NB14082804	0	1
NB14082805	0	1
NB14082806	0	1
NB14082807	0	1
NB14082901	0	1
NB14082902	0	1
NB14090101	0	1
NB14090102	0	1
NB14090103	0	1
NB14090105	0	1
NB14090107	0	1
NB14090202	0	1
NB14090203	0	1
NB14090204	0	1
NB14090302	0	1
NB14090303	0	1
NB14090401	0	1
NB14090501	0	1
NB14090502	0	1
NB14090504	0	1
NB14090802	0	1
NB14090803	0	1
NB14090901	0	1
NB14090903	0	1
NB14090904	0	1
NB14091001	0	1
NB14091002	0	1
NB14091101	0	1
NB14091102	0	1
NB14091103	0	1
NB14091201	0	1
NB14091202	0	1
NB14091203	0	1
NB14091204	0	1
NB14091601	0	1
NB14091602	0	1
NB14091603	0	1
NB14091701	0	1
NB14091702	0	1
NB14091703	0	1
NB14091801	0	1
NB14091901	0	1
NB14091903	0	1
NB14091904	0	1
NB14092201	0	1
NB14092202	0	1
NB14092203	0	1
NB14092204	0	1
NB14092205	0	1
NB14092401	0	1
NB14092402	0	1
NB14092403	0	1
NB14092502	0	1
NB14092902	0	1
NB14092903	0	1
NB14092904	0	1
NB14093001	0	1
NB14093002	0	1
NB14093003	0	1
NB14093004	0	1
NB14100101	0	1
NB14100102	0	1
NB14100103	0	1
NB14100201	0	1
NB14100204	0	1
NB14100205	0	1
NB14100301	0	1
NB14100302	0	1
NB14100601	0	1
NB14100602	0	1
NB14100603	0	1
NB14100604	0	1
NB14100606	0	1
NB14100607	0	1
NB14100608	0	1
NB14100701	0	1
NB14100702	0	1
NB14100801	0	1
NB14100802	0	1
NB14100803	0	1
NB14101001	0	1
NB14101003	0	1
NB14101004	0	1
NB14101401	0	1
NB14101501	0	1
NB14101502	0	1
NB14101503	0	1
NB14101601	0	1
NB14101602	0	1
NB14101702	0	1
NB14101703	0	1
NB14102001	0	1
NB14102002	0	1
NB14102003	0	1
NB14102004	0	1
NB14102005	0	1
NB14102006	0	1
NB14102101	0	1
NB14102102	0	1
NB14102103	0	1
NB14102201	0	1
NB14102202	0	1
NB14102401	0	1
NB14102405	0	1
NB14102701	0	1
NB14102702	0	1
NB14102703	0	1
NB14102706	0	1
NB14102801	0	1
NB14102802	0	1
NB14102803	0	1
NB14102901	0	1
NB14102902	0	1
NB14103001	0	1
NB14103002	0	1
NB14103003	0	1
NB14103101	0	1
NB14103102	0	1
NB14103103	0	1
NB14103104	0	1
NB14110402	0	1
NB14110501	0	1
NB14110601	0	1
NB14110602	0	1
NB14110603	0	1
NB14110604	0	1
NB14110702	0	1
NB14111001	0	1
NB14111002	0	1
NB14111003	0	1
NB14111004	0	1
NB14111005	0	1
NB14111006	0	1
NB14111101	0	1
NB14111102	0	1
NB14111103	0	1
NB14111104	0	1
NB14111105	0	1
NB14111202	0	1
NB14111302	0	1
NB14111303	0	1
NB14111304	0	1
NB14111401	0	1
NB14111402	0	1
NB14111403	0	1
NB14111404	0	1
NB14111702	0	1
NB14111703	0	1
NB14111705	0	1
NB14111801	0	1
NB14111802	0	1
NB14111803	0	1
NB14111804	0	1
NB14111901	0	1
NB14111902	0	1
NB14111903	0	1
NB14112001	0	1
NB14112002	0	1
NB14112003	0	1
NB14112101	0	1
NB14112102	0	1
NB14112103	0	1
NB14112104	0	1
NB14112502	0	1
NB14112503	0	1
NB14112601	0	1
NB14112602	0	1
NB14112603	0	1
NB14112701	0	1
NB14112802	0	1
NB14112803	0	1
NB14120101	0	1
NB14120102	0	1
NB14120103	0	1
NB14120201	0	1
NB14120202	0	1
NB14120203	0	1
NB14120204	0	1
NB14120401	0	1
NB14120402	0	1
NB14120403	0	1
NB14120502	0	1
NB14120503	0	1
NB14120504	0	1
NB14120802	0	1
NB14120803	0	1
NB14120804	0	1
NB14120805	0	1
NB14120806	0	1
NB14120901	0	1
NB14120902	0	1
NB14120903	0	1
NB14120904	0	1
NB14120905	0	1
NB14121001	0	1
NB14121101	0	1
NB14121102	0	1
NB14121103	0	1
NB14121502	0	1
NB14121503	0	1
NB14121504	0	1
NB14121505	0	1
NB14121506	0	1
NB14121601	0	1
NB14121602	0	1
NB14121603	0	1
NB14121701	0	1
NB14121702	0	1
NB14121801	0	1
NB14121802	0	1
NB14121901	0	1
NB14121902	0	1
NB14121903	0	1
NB14122401	0	1
NB14122402	0	1
NB14122501	0	1
NB14122502	0	1
NB14122503	0	1
NB14122601	0	1
NB14122603	0	1
NB15010504	0	1
NB15010601	0	1
NB15010602	0	1
NB15010603	0	1
NB15010701	0	1
NB15010702	0	1
NB15010703	0	1
NB15010901	0	1
NB15010902	0	1
NB15011301	0	1
NB15011404	0	1
NB15011502	0	1
NB15011503	0	1
NB15011604	0	1
NB15011901	0	1
NB15011902	0	1
NB15011904	0	1
NB15011906	0	1
NB15012001	0	1
NB15012003	0	1
NB15012101	0	1
NB15012102	0	1
NB15012201	0	1
NB15012202	0	1
NB15012301	0	1
NB15012302	0	1
NB15012303	0	1
NB15012602	0	1
NB15012603	0	1
NB15012701	0	1
NB15012702	0	1
NB15012703	0	1
NB15012801	0	1
NB15012802	0	1
NB15012803	0	1
NB15012901	0	1
NB15012903	0	1
NB15012904	0	1
NB15013001	0	1
NB15013002	0	1
NB15013004	0	1
NB15013005	0	1
NB15020202	0	1
NB15020203	0	1
NB15020204	0	1
NB15020205	0	1
NB15020301	0	1
NB15020401	0	1
NB15020403	0	1
NB15020503	0	1
NB15020602	0	1
NB15020603	0	1
NB15020902	0	1
NB15020903	0	1
NB15020904	0	1
NB15020906	0	1
NB15021001	0	1
NB15021004	0	1
NB15021201	0	1
NB15021301	0	1
NB15021302	0	1
NB15021303	0	1
NB15021601	0	1
NB15021602	0	1
NB15021603	0	1
NB15021701	0	1
NB15021702	0	1
NB15021703	0	1
NB15021801	0	1
NB15021802	0	1
NB15021901	0	1
NB15021902	0	1
NB15022001	0	1
NB15022002	0	1
NB15022004	0	1
NB15022301	0	1
NB15022302	0	1
NB15022303	0	1
NB15022304	0	1
NB15022401	0	1
NB15022402	0	1
NB15022403	0	1
NB15022405	0	1
NB15022501	0	1
NB15022502	0	1
NB15022503	0	1
NB15022504	0	1
NB15022601	0	1
